File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\bytes\index.js,parse(val),25,18,14,6,4,0,3,21,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\callsite\index.js,function(),8,8,9,1,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\callsite\Readme.md,foo(),2,2,2,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\callsite\Readme.md,bar(),2,2,2,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\callsite\Readme.md,baz(),9,9,6,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-bind\index.js,"function(obj, fn)",7,7,6,4,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-bind\Readme.md,name(),2,2,2,1,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-bind\Readme.md,"add(a, b)",2,2,2,1,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-bind\Readme.md,function(),2,2,2,1,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-emitter\index.js,Emitter(obj),2,2,2,1,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-emitter\index.js,mixin(obj),5,5,4,2,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-emitter\index.js,"function(event, fn)",5,5,5,1,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-emitter\index.js,"function(event, fn)",9,8,7,1,1,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-emitter\index.js,"function(event, fn)",29,21,19,9,4,0,4,9,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-emitter\index.js,function(event),13,11,9,3,2,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-emitter\index.js,function(event),3,3,4,1,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-emitter\index.js,function(event),2,2,2,1,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-inherit\index.js,"function(a, b)",5,5,6,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-inherit\Readme.md,Human(),1,1,1,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-inherit\Readme.md,Woman(),1,1,1,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-disposition\index.js,"createparams(filename, fallback)",49,32,9,11,11,0,6,27,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-disposition\index.js,format(obj),28,19,4,5,7,0,2,6,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-disposition\index.js,decodefield(str),26,20,3,5,5,0,1,3,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-disposition\index.js,getlatin1(val),3,2,1,1,0,0,1,5,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-disposition\index.js,parse(string),70,48,11,11,16,0,6,19,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-disposition\index.js,"pdecode(str, hex)",2,2,1,1,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-disposition\index.js,pencode(char),8,8,1,2,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-disposition\index.js,qstring(val),4,3,1,1,1,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-disposition\index.js,ustring(val),8,5,1,1,2,0,1,4,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-disposition\index.js,"ContentDisposition(type, parameters)",3,3,1,0,0,0,0,0,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-type\index.js,format(obj),31,22,6,6,8,0,1,2,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-type\index.js,parse(string),58,43,11,11,13,0,2,9,
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-type\index.js,getcontenttype(obj),10,7,3,4,1,0,2,2,
