File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug\src\index.js,11,5,4,1,2,0,4,18,4,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug\src\node.js,247,118,91,20,48,1,81,355,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\depd\index.js,521,303,69,68,121,6,97,311,8,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\depd\History.md,91,61,0,0,30,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\depd\Readme.md,284,202,7,2,72,14,10,68,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\depd\package.json,115,114,17,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\depd\lib\browser\index.js,78,35,9,7,18,0,25,86,5,13
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\depd\lib\compat\callsite-tostring.js,104,66,19,13,21,0,17,46,5,13
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\depd\lib\compat\event-listener-count.js,23,5,1,1,6,0,12,36,5,13
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\depd\lib\compat\index.js,80,39,9,5,20,0,21,48,5,13
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\destroy\index.js,76,28,8,9,17,0,31,72,5,12
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\destroy\README.md,61,45,0,0,15,13,1,16,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\destroy\package.json,107,106,17,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\ee-first\index.js,96,52,11,9,21,0,23,74,5,12
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\ee-first\README.md,81,61,2,0,17,13,3,21,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\ee-first\package.json,99,98,17,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\encodeurl\index.js,61,10,1,1,12,0,39,183,5,13
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\encodeurl\HISTORY.md,10,6,0,0,4,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\encodeurl\README.md,125,84,2,0,33,12,8,41,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\encodeurl\package.json,113,112,17,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io\index.js,5,3,1,1,2,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io\History.md,609,424,0,0,185,2,0,11,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io\README.md,540,421,39,1,115,17,4,84,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io\package.json,136,135,21,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io\lib\engine.io.js,127,34,31,6,27,0,66,226,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io\lib\server.js,519,317,259,47,78,0,124,390,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io\lib\socket.js,484,284,246,29,82,0,118,390,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io\lib\transport.js,129,43,41,2,26,0,60,149,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io\lib\transports\index.js,37,14,10,3,9,0,14,26,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io\lib\transports\polling-jsonp.js,76,28,24,2,16,0,32,113,3,5
